"yyyy/mm/dd","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75"
"2011-02-01",38.3277218764392,193.804633039473,193.804633039473,197.379178225955,197.965115778789,213.512117834054,214.375439992561,216.881240766318,221.839912475486,221.839912475486,30,249.717131889786,250.631498453977,30,272.187717466925,30,30,293.313935761771,303.557813314093,305.699785295715,30,309.630127952275,311.402472856288,327.702526467122,30,30,422.615761430721,424.848779372755,427.259568941861,30,958.697383997599,973.962339796382,30,992.841540499466,30,1005.78812100885,1005.78812100885,30,30,1207.9738175486,30,1214.59154329511,1235.37420958588,30,1269.44933629281,30,1285.27717093244,30,30,1337.1872203801,1345.86703353489,1368.56620349335,30,30,1407.76624672728,30,1633.21849854481,1633.21849854481,1633.21849854481,1633.21849854481,37.136983517885,3.79181439816914,23.7874371957515,11.5632500947416,79.1382569994382,528.368957121864,7.55618584815358,16.3003535713128,26.7429464422468,1.87490013914434,42.8835805260106,22.6465499552997,18.949756762423,186.45816664199,32.5383003023526
"2011-02-02",37.3843706852533,186.960162525455,186.960162525455,190.38395003441,190.941650106452,205.944304921807,206.777609695687,209.183156834887,213.961047536953,213.961047536953,30,241.050345367281,241.925145759158,30,262.763303948723,30,30,283.289085347287,293.149328628268,295.217304161985,30,298.983977406914,300.669833659647,316.374750310459,30,30,406.948076126409,409.08441807863,411.363927168926,30,918.531304651682,933.248174810602,30,951.435550523096,30,963.917187683921,963.917187683921,30,30,1159.55099413222,30,1165.83694128248,1186.1657199414,30,1219.48394169776,30,1234.75008849484,30,30,1284.97160206332,1293.33041766956,1315.34261319459,30,30,1353.58830317213,30,1572.43007849834,1572.43007849834,1572.43007849834,1572.43007849834,36.2393099182561,3.66403347455313,23.1851051791523,11.3659841672102,75.5560941259653,504.257330851503,7.28419954710737,15.989169621107,26.2628225297627,1.83768051017587,41.5821674720706,21.9629821791712,18.6444957372527,180.868017821613,31.8342116596948
"2011-02-03",36.5222231440119,180.610675106558,180.610675106558,183.885354829981,184.416939233018,198.902527862318,199.706933789682,202.014276672787,206.623652855581,206.623652855581,30,232.982244417059,233.81908453122,30,253.97571574226,30,30,273.931248456336,283.422927896276,285.419246996796,30,289.029614392195,290.630761419736,305.764768162169,30,30,392.356948540882,394.4029343456,396.557513460739,30,881.561145514362,895.756685235307,30,913.278203239087,30,925.309772559646,925.309772559646,30,30,1115.02539753543,30,1120.98793312669,1140.88438816603,30,1173.54217698752,30,1188.2883440507,30,30,1236.90932629834,1244.96137916969,1266.3205862902,30,30,1303.63668076467,30,1516.37283841088,1516.37283841088,1516.37283841088,1516.37283841088,35.4197559490102,3.54767180037226,22.6349267127044,11.1817570614995,72.2953499500423,482.246842709328,7.03245083794049,15.6949121257346,25.8048724623616,1.83269304861339,40.33131974503,21.3131777434963,18.3351219347846,175.80739504267,31.0805819928264
"2011-02-04",35.7232926275024,174.722688602061,174.722688602061,177.857705280141,178.364696362406,192.356937061256,193.134272932536,195.346967153666,199.790605123499,199.790605123499,30,225.469298270327,226.271304157574,30,245.787164602622,30,30,265.200258903887,274.340402898685,276.268490431264,30,279.727796032779,281.24800226431,295.831968310595,30,30,378.783526356389,380.741180977288,382.775452084147,30,847.304102419905,861.022372891084,30,877.92602384558,30,889.54848564606,889.54848564606,30,30,1073.87420996636,30,1079.56189882003,1099.04943355007,30,1131.12216440182,30,1145.35690204801,30,30,1192.3266009991,1200.09258134348,1220.80373255579,30,30,1257.24367349076,30,1464.3195458241,1464.3195458241,1464.3195458241,1464.3195458241,34.6607398965304,3.43938420693444,22.125489014255,11.0073528076597,69.3349496462223,461.907221910809,6.79785550735178,15.4147621252136,25.4957065761,1.79849382556118,39.0878487770397,20.6677781927908,18.0413765325505,171.209499160511,30.2765003201011
"2011-02-05",34.983400239625,169.279486206449,169.279486206449,172.278437330502,172.762029477464,186.279396966779,187.030040571956,189.141856517516,193.441865002627,193.441865002627,30,218.47707878387,219.240711532275,30,238.147893458663,30,30,257.044988599797,265.851032162466,267.713222011346,30,271.028648500878,272.471609979984,286.526348461452,30,30,366.119534767915,367.995328907976,369.919278798074,30,815.518928729526,828.781835890543,30,845.097499798825,30,856.333937677892,856.333937677892,30,30,1035.7537679611,30,1041.1736603582,1060.26317243679,30,1091.80788229456,30,1105.58301585992,30,30,1151.04261193102,1158.52264186475,1178.58470373255,30,30,1214.1756513603,30,1415.99993330919,1415.99993330919,1415.99993330919,1415.99993330919,33.9581867195973,3.33672262153662,21.6470828951118,10.8392241449818,66.6094275090893,443.106096681519,6.57592616625205,15.1429906857933,25.1943340477921,1.76525432271802,37.9124084553355,20.0214911746752,17.7654946701285,167.046557674954,29.4407103575311
"2011-02-06",34.7358903188016,164.666714452243,164.666714452243,167.485683736666,167.94323464199,180.86082069468,181.577247404661,183.567503325697,187.706413465543,187.706413465543,30,212.086770025644,212.814934463459,30,231.100513860888,30,30,249.471584140501,257.94564889076,259.74257962524,30,262.915707299574,264.281747592067,277.820761570983,30,30,354.30509737816,356.102960160256,357.922335401792,30,785.959631748318,798.791257155349,30,814.550857493344,30,825.423646060332,825.423646060332,30,30,1000.5023670913,30,1005.66232750932,1024.36703149931,30,1055.35192568791,30,1068.68557646642,30,30,1112.71860826449,1119.92927624755,1139.3573566628,30,30,1174.13436461299,30,1371.12400334884,1371.12400334884,1371.12400334884,1371.12400334884,33.7591738160462,3.24237988871583,21.1959722683271,10.6751291646125,64.1048968310466,425.661668441924,6.36549755037128,14.8789919999453,24.8587372269257,1.73278820787214,36.8026635025561,19.3896392022024,17.499448359879,163.288048429896,28.6021683562759
"2011-02-07",36.6564861473586,162.419606634074,162.419606634074,164.867922744851,165.285019257758,176.998860938768,177.647865983694,179.332380958647,183.231273301324,183.231273301324,30,206.78402798429,207.446525573061,30,224.957084510957,30,30,242.669877588026,250.745389817106,252.469909150486,30,255.477636511748,256.752721670958,269.743077299622,30,30,343.306067985946,345.026999941235,346.743982919771,30,758.426360910582,770.841564066718,30,786.072032944876,30,796.599867423961,796.599867423961,30,30,968.205166489978,30,973.097342531461,991.427910864823,30,1021.82051986671,30,1034.72150516622,30,30,1077.40640782025,1084.36327445998,1103.18808299469,30,30,1137.17222783311,30,1329.79319835034,1329.79319835034,1329.79319835034,1329.79319835034,35.7721063066645,3.15147150387705,20.7669447359448,10.5134458640985,61.7869684374853,409.417432463625,6.16396614846758,14.6222770880447,24.4924045577884,1.70174277977975,35.760629967738,18.7888968676787,17.2313833487678,159.982080724772,27.7860900792651
"2011-02-08",40.7823320490648,163.280684673929,163.280684673929,165.240858568183,165.608589586934,175.564249730531,176.111703519602,177.286201187252,180.842302843913,180.842302843913,30,203.300373413776,203.857181499173,30,220.296980652555,30,30,237.066477085518,244.578299206686,246.210911323598,30,248.996825985379,250.141064002367,262.46967971802,30,30,333.196527217644,334.831992539094,336.434569942237,30,732.872859359104,744.883886149433,30,759.596101933325,30,769.784851313395,769.784851313395,30,30,939.093481913836,30,943.696810513053,961.660847155854,30,991.426128042907,30,1003.88564707755,30,30,1045.25508773112,1051.94938543212,1070.20419127954,30,30,1103.39569235642,30,1292.23594852585,1292.23594852585,1292.23594852585,1292.23594852585,39.9852691616287,3.06453820584333,20.356517699283,10.3537925083572,59.6296363184359,394.282753284351,5.9692797340559,14.3733003669753,24.1026827840605,1.67217173021422,34.7787897888006,18.2216475462521,16.9519510850984,157.252959104451,27.0036162089287
"2011-02-09",45.3156200472015,166.420722752016,166.420722752016,167.984351742348,168.309541928335,176.564414750546,177.008414569697,177.627607339665,180.808130621708,180.808130621708,30,202.040212338604,202.467953716403,30,217.620704804687,30,30,233.142049109509,239.88144340687,241.395414935442,30,243.878372599979,244.831658753711,256.320694053956,30,30,324.19624721103,325.724135703594,327.178683623987,30,709.430473095498,721.032117413177,30,735.231794920432,30,745.073259081357,745.073259081357,30,30,913.48121844311,30,917.769819485784,935.374353310611,30,964.478124554222,30,976.472390723594,30,30,1016.54563269666,1022.96317601259,1040.68046102067,30,30,1073.03310916723,30,1258.95146115707,1258.95146115707,1258.95146115707,1258.95146115707,44.5544369201894,2.98198120533132,19.9642117952974,10.1958535584268,57.6169107767846,380.210373469379,5.78348890056963,14.1330712155243,23.6968884019716,1.64408918755132,33.8503972669429,17.6872588985394,16.6604514574458,155.387974102562,26.260823691552
"2011-02-10",48.3229572574147,170.274964682518,170.274964682518,171.649364968295,171.949854142563,179.124786014421,179.497393568242,179.717462500388,182.592134818825,182.592134818825,30,202.732657982216,203.043293452971,30,216.933656108098,30,30,231.096576672811,236.928878563092,238.3060291069,30,240.422991422251,241.133974681883,251.601523184255,30,30,316.557071329566,317.948420372821,319.21227882165,30,688.246902845979,699.421966247975,30,713.106411531887,30,722.588050294601,722.588050294601,30,30,891.547801132408,30,895.501318121211,912.754634478368,30,941.176021084279,30,952.698300554727,30,30,991.499403742707,997.631805860347,1014.84330659388,30,30,1046.32338176319,30,1230.55313889282,1230.55313889282,1230.55313889282,1230.55313889282,47.5493629187212,2.90285983741683,19.5899306505795,10.0400159122397,55.7257780665057,367.117067911686,5.60565664293635,13.9016480302269,23.2820734049194,1.61757723853808,32.9724780169672,17.184943874414,16.3597591104566,154.77137560917,25.5581323819926
