"yyyy/mm/dd","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72"
2004-01-01,230.69765194591,230.69765194591,230.69765194591,234.326846917994,235.185234816318,238.137452801596,248.417117768022,249.648761235595,250.414873587721,290.897673338821,30,310.258070711717,310.258070711717,30,30,328.421338286361,328.421338286361,30,30,30,30,362.798844213478,30,363.533262661971,364.554409154821,366.009105078614,366.009105078614,368.964454029015,369.812463272894,383.79509757803,505.106449908992,505.106449908992,30,30,30,30,518.667557725649,1038.19718503875,338.197185038749,1060.43545878499,1064.86562188875,30,30,1103.27001745659,1119.68478484023,1377.29751321788,1454.92470389043,30,1463.77132634309,30,30,1483.33826213112,30,30,30,30,30,30,30,30,1597.29598749116,30,1658.07906090852,30,1888.42654314686,30,1943.49061571707,32.6857608587352,118.963786190589,40.0229646884814,90.0796943264752,194.633885858748
2004-01-02,227.684382442269,227.684382442269,227.684382442269,231.285992167028,232.120859908304,235.338722794041,245.550664921443,246.826002461411,247.708489485683,287.214629688694,30,306.121517602651,306.121517602651,30,30,324.392032040615,324.392032040615,30,30,30,30,358.978982352431,30,359.872300400156,360.863109852767,362.77376006859,362.77376006859,365.929513043247,366.795301818688,380.677666544845,498.431765762891,498.431765762891,30,30,30,30,512.610554256683,1025.20444078975,325.204440789751,1047.53929606443,1052.09360221347,30,30,1090.52441570547,1106.93037116711,1361.96382533902,1438.61078691592,30,1447.36220028921,30,30,1466.49970216728,30,30,30,30,30,30,30,30,1576.32506797716,30,1635.31203905032,30,1863.47860941615,30,1916.37738416289,31.7560286145354,115.11764417997,39.5629764899995,86.5955494911379,193.175146255854
2004-01-03,224.176524293254,224.176524293254,224.176524293254,227.7436461387,228.553513488685,231.94739057314,242.07238710831,243.37224706233,244.347181208559,282.862528074912,30,301.225376064313,301.225376064313,30,30,319.417522274506,319.417522274506,30,30,30,30,353.887415746859,30,354.91922704165,355.873038769659,358.005906718439,358.005906718439,361.240566463923,362.112276135423,375.727675285446,489.712443403182,489.712443403182,30,30,30,30,504.116348419697,1004.80678613831,304.806786138308,1026.92232101965,1031.43614931087,30,30,1068.91686545049,1085.33172852119,1336.11694467048,1411.07016658329,30,1420.05369542394,30,30,1439.04081688148,30,30,30,30,30,30,30,30,1545.73588792829,30,1603.28190315716,30,1829.83716669862,30,1880.77349363095,30.886375916755,111.095464580839,38.7376856226621,82.8980710606328,191.647865880552
2004-01-04,220.340796654986,220.340796654986,220.340796654986,223.854806759128,224.63605340457,228.137271291184,238.162760263091,239.473989144267,240.515707544932,278.048458024942,30,295.876445442513,295.876445442513,30,30,313.832131808999,313.832131808999,30,30,30,30,347.992793520592,30,349.114939005374,350.032976672782,352.335801766107,352.335801766107,355.619354402175,356.485276042025,369.771965452008,480.053362420683,480.053362420683,30,30,30,30,494.578640956463,982.507851112866,282.507851112866,1004.19513414081,1008.65765990583,30,30,1045.0894172887,1061.18786621678,1307.04862154699,1380.10355687405,30,1389.04025364881,30,30,1407.60747040471,30,30,30,30,30,30,30,30,1510.59442020799,30,1566.53716128508,30,1790.97533944683,30,1839.99110622426,30.0691658995385,107.260251212051,37.8248857984806,79.2823770155452,189.919378585899
2004-01-05,216.30978714491,216.30978714491,216.30978714491,219.756117509908,220.506442666351,224.056648306141,233.971865422819,235.282353478253,236.369091192047,272.930239268266,30,290.239415633759,290.239415633759,30,30,307.866337677684,307.866337677684,30,30,30,30,341.58013874652,30,342.758576592568,343.638237303574,346.049628179698,346.049628179698,349.345745568914,350.199327528372,363.123083803937,469.832129002037,469.832129002037,30,30,30,30,484.45416239265,959.451219515518,259.451219515518,980.649919746997,985.24321271539,30,30,1020.48964824742,1036.13642390939,1276.56849545478,1347.6661691311,30,1356.45409317079,30,30,1374.50156885544,30,30,30,30,30,30,30,30,1473.6798117004,30,1527.94479500792,30,1749.79751610056,30,1796.94008650533,29.2912143317891,103.623032865817,36.9206778974005,75.8656053461194,187.950784804419
2004-01-06,212.213912201345,212.213912201345,212.213912201345,215.578456306688,216.296522126368,219.841209745471,229.634152481097,230.931353333137,232.043781185335,267.649892189191,30,284.455332368381,284.455332368381,30,30,301.694988314725,301.694988314725,30,30,30,30,334.86928081779,30,336.078005731308,336.91929436303,339.389189152309,339.389189152309,342.668474612517,343.50472344044,356.054652558183,459.338921313152,459.338921313152,30,30,30,30,473.768308682302,934.705246235202,234.705246235202,955.469409158365,959.859349930979,30,30,994.132710962338,1009.38678465583,1244.29608867137,1313.5659600591,30,1322.23258938267,30,30,1339.78418285782,30,30,30,30,30,30,30,30,1435.43157136588,30,1488.08049434622,30,1707.11547534998,30,1752.49187098433,28.5518997315184,100.18402432114,36.0633710695207,72.7067454596581,185.773156158767
2004-01-07,208.200753777488,208.200753777488,208.200753777488,211.468304580953,212.153746073883,215.638716436201,225.29586842808,226.573639316221,227.690039569667,262.400405058518,30,278.695587192918,278.695587192918,30,30,295.479662330765,295.479662330765,30,30,30,30,328.050034918759,30,329.264902838805,330.06769981717,332.551703238783,332.551703238783,335.789364632131,336.604458188257,348.786497455511,448.80751227552,448.80751227552,30,30,30,30,462.99170577253,909.53172081877,209.53172081877,929.816813489105,934.120808136276,30,30,967.380357883188,982.186670581281,1211.3643343807,1278.86548071732,30,1287.37136897549,30,30,1304.41448819995,30,30,30,30,30,30,30,30,1396.72787514388,30,1447.81739382662,30,1663.84453918128,30,1707.55959292795,27.8994802650649,96.9482849034478,35.25881602171,69.8196831908545,183.439840703758
2004-01-08,206.336565663181,206.336565663181,206.336565663181,209.476874509581,210.138593782342,213.055074789908,222.667554434488,223.872665309713,224.831889432982,259.38413586027,30,275.230713672611,275.230713672611,30,30,291.342115487365,291.342115487365,30,30,30,30,323.243457105399,30,324.265508574612,325.087699211551,327.604461849561,327.604461849561,330.784859660076,331.571913054484,343.783848369045,442.130684533275,442.130684533275,30,30,30,30,455.783484202876,897.611351970947,197.611351970947,917.926318271361,922.185817476184,30,30,953.847991631289,967.49314178385,1191.40244070019,1256.64357602992,30,1264.39570639185,30,30,1280.61542602846,30,30,30,30,30,30,30,30,1368.97243380986,30,1418.70247323988,30,1631.46276533993,30,1673.52819515095,28.1970252621935,95.6515796007972,34.6223404804114,67.4301098767261,181.391516608266
2004-01-09,210.461739466629,210.461739466629,210.461739466629,213.347998607626,214.04967078764,215.814479644436,225.599208557394,226.744844641679,227.166367980155,263.338861677952,30,278.764622254003,278.764622254003,30,30,293.117691604635,293.117691604635,30,30,30,30,323.301805256152,30,323.864166459878,324.771253677239,326.132932042646,326.132932042646,328.681243486183,329.380784482534,341.193659898054,438.044727087807,438.044727087807,30,30,30,30,449.902007736501,884.799935383273,184.799935383273,904.15828833822,908.235460817532,30,30,940.19235832066,953.708005433338,1174.61504815963,1239.12200702857,30,1246.61240982713,30,30,1262.47829851866,30,30,30,30,30,30,30,30,1347.87345495005,30,1396.28268269191,30,1606.41017522029,30,1647.30582124231,30.5522768904087,94.9638855548671,34.3022190962353,65.3972228740426,179.388458774627
2004-01-10,213.908238198246,213.908238198246,213.908238198246,216.897871375127,217.625451248277,218.656100319972,228.59745583826,229.853910984939,230.217295975522,270.314949336635,30,285.709487934955,285.709487934955,30,30,297.990034516248,297.990034516248,30,30,30,30,325.704343895928,30,325.926955318532,326.74807736791,327.516850671917,327.516850671917,329.674651736174,330.303364925422,341.869623275699,438.809529901437,438.809529901437,30,30,30,30,448.714100374611,880.209923756557,180.209923756557,898.872548354783,902.688432879909,30,30,933.717023481152,946.576169232045,1165.04319414688,1228.59035632534,30,1235.57468189688,30,30,1250.97288986622,30,30,30,30,30,30,30,30,1333.50015160744,30,1380.49830307979,30,1587.2164996251,30,1626.68315071481,33.8819203408904,95.9480242996371,34.0707416667729,63.7806581028105,177.169594679334
